,otg_id,electrical_capacity,geom
7440,24937,16.57,0101000020E6100000C4E2246962B62540D938471A098A4940
7441,24724,0,0101000020E6100000913D5743D71E2740FC215B6B7D104A40
7442,24724,36.88,0101000020E6100000913D5743D71E2740FC215B6B7D104A40
7443,24724,0,0101000020E6100000913D5743D71E2740FC215B6B7D104A40
7444,24724,6.08,0101000020E6100000913D5743D71E2740FC215B6B7D104A40
7445,23852,5.81,0101000020E6100000652A6C107B7A2440F7EEC5DAD6264A40
7446,23852,0,0101000020E6100000652A6C107B7A2440F7EEC5DAD6264A40
7447,23852,0,0101000020E6100000652A6C107B7A2440F7EEC5DAD6264A40
7448,23852,16.13,0101000020E6100000652A6C107B7A2440F7EEC5DAD6264A40
7449,23852,36.35,0101000020E61000004D952DE7909D24401A62375B73254A40
7450,23852,0,0101000020E61000004D952DE7909D24401A62375B73254A40
7451,27257,16.47,0101000020E610000030FBB4AC8E062C4042DEC47D35974940
7452,27257,0,0101000020E610000030FBB4AC8E062C4042DEC47D35974940
7453,27257,16.53,0101000020E610000030FBB4AC8E062C4042DEC47D35974940
7454,27257,0,0101000020E610000030FBB4AC8E062C4042DEC47D35974940
